tile,lon_min,lat_min,lon_max,lat_max,pct_quemado,fecha_pre,fecha_post,escala_m
tile_000,-72,-42.80069838119117,-71.95400646784046,-42.75470254827919,96.9,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_001,-72,-42.754704848744524,-71.95400646784046,-42.708709016119656,97.13,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_002,-72,-42.70871131629196,-71.95400646784046,-42.66271548396011,97.27,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_003,-72,-42.662717783833465,-71.95400646784046,-42.61672195180057,98.03,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_004,-72,-42.616724251369035,-71.95400646784046,-42.57072841964102,99.64,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_005,-72,-42.57073071889869,-71.95400646784046,-42.52473488748148,99.8,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_006,-72,-42.524737186422406,-71.95400646784046,-42.47874135532194,98.78,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_007,-72,-42.47874365394019,-71.95400646784046,-42.432747823162394,98.12,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_008,-72,-42.43275012145207,-71.95400646784046,-42.38675429100286,97.55,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_009,-72,-42.386756588958015,-71.95400646784046,-42.34076075884332,98.29,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_010,-72,-42.34076305645804,-71.95400646784046,-42.294767226683774,96.81,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_011,-72,-42.29476952395214,-71.95400646784046,-42.24877369452423,98.35,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_012,-72,-42.24877599144031,-71.95400646784046,-42.20278016236468,99.06,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_013,-72,-42.20278245892258,-71.95400646784046,-42.15678663020514,99.92,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_014,-72,-42.15678892639891,-71.95400646784046,-42.1107930980456,98.8,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_015,-72,-42.11079539386933,-71.95400646784046,-42.06479956588606,98.9,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_016,-72,-42.064801861333834,-71.95400646784046,-42.01880603372652,99.74,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_017,-72,-42.018808328792424,-71.95400646784046,-41.99999999999995,98.44,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_018,-71.95400646784046,-42.80069838119117,-71.90801293568092,-42.75470254827919,95.46,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_019,-71.95400646784046,-42.754704848744524,-71.90801293568092,-42.708709016119656,92.84,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_020,-71.95400646784046,-42.70871131629197,-71.90801293568092,-42.66271548396011,97.57,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_021,-71.95400646784046,-42.662717783833465,-71.90801293568092,-42.616721951800564,95.17,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_022,-71.95400646784046,-42.616724251369035,-71.90801293568092,-42.57072841964102,99.23,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_023,-71.95400646784046,-42.57073071889868,-71.90801293568092,-42.52473488748148,98.54,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_024,-71.95400646784046,-42.524737186422406,-71.90801293568092,-42.47874135532194,99.36,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_025,-71.95400646784046,-42.47874365394019,-71.90801293568092,-42.432747823162394,98.44,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_026,-71.95400646784046,-42.432750121452074,-71.90801293568092,-42.38675429100286,93.19,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_027,-71.95400646784046,-42.386756588958015,-71.90801293568092,-42.34076075884332,99.16,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
tile_028,-71.95400646784046,-42.34076305645804,-71.90801293568092,-42.29476722668377,98.61,2025-11-01/2025-12-08,2026-02-05/2026-02-20,20
