tile,lon_min,lat_min,lon_max,lat_max,fire_arrival_utc,timing_precision,fecha_pre_img,lag_pre_h,fecha_post_img,lag_post_h,pct_quemado,escala_m,status
tile_000,-71.917,-42.821341,-71.871006,-42.775345,2026-01-26T12:00:00+00:00,S2_window_5d,2026-01-24,45.3,2026-01-29,74.7,0,20,OK
tile_001,-71.917,-42.775347,-71.871006,-42.729352,2026-01-26T12:00:00+00:00,S2_window_5d,2026-01-24,45.3,2026-01-29,74.7,0.21,20,OK
tile_002,-71.917,-42.729354,-71.871006,-42.683358,2025-12-09T19:04:00+00:00,VIIRS_375m,,,,,,20,SKIP_no_S2
tile_003,-71.917,-42.68336,-71.871006,-42.637365,2026-01-06T04:43:00+00:00,VIIRS_375m,2026-01-04,38.0,2026-01-09,82.0,3.1,20,OK
tile_004,-71.917,-42.637367,-71.871006,-42.591371,2026-01-03T12:00:00+00:00,S2_window_52d,,,,,,20,SKIP_no_S2
tile_005,-71.917,-42.591373,-71.871006,-42.545377,2026-01-03T12:00:00+00:00,S2_window_52d,,,,,,20,SKIP_no_S2
tile_006,-71.917,-42.54538,-71.871006,-42.5,2026-01-03T12:00:00+00:00,S2_window_52d,,,,,,20,SKIP_no_S2
tile_007,-71.871006,-42.821341,-71.825013,-42.775345,2026-01-10T12:00:00+00:00,S2_window_2d,2026-01-09,21.3,2026-01-19,218.7,0,20,OK
tile_008,-71.871006,-42.775347,-71.825013,-42.729352,2026-01-10T18:15:00+00:00,MODIS_~3h,2026-01-09,27.5,2026-01-19,212.5,0,20,OK
tile_009,-71.871006,-42.729354,-71.825013,-42.683358,2026-01-06T04:43:00+00:00,VIIRS_375m,2026-01-04,38.0,2026-01-09,82.0,34.51,20,OK
tile_010,-71.871006,-42.68336,-71.825013,-42.637365,2026-01-06T04:43:00+00:00,VIIRS_375m,2026-01-04,38.0,2026-01-09,82.0,7.34,20,OK
tile_011,-71.871006,-42.637367,-71.825013,-42.591371,2026-01-03T12:00:00+00:00,S2_window_52d,,,,,,20,SKIP_no_S2
tile_012,-71.871006,-42.591373,-71.825013,-42.545377,2026-01-03T12:00:00+00:00,S2_window_52d,,,,,,20,SKIP_no_S2
tile_013,-71.871006,-42.54538,-71.825013,-42.5,2026-01-03T12:00:00+00:00,S2_window_52d,,,,,,20,SKIP_no_S2
tile_014,-71.825013,-42.821341,-71.779019,-42.775345,2026-01-23T18:22:00+00:00,VIIRS_375m,2026-01-19,99.6,2026-01-24,20.4,3.57,20,OK
tile_015,-71.825013,-42.775347,-71.779019,-42.729352,2026-01-06T19:01:00+00:00,VIIRS_375m,2026-01-04,52.3,2026-01-09,67.7,36.31,20,OK
tile_016,-71.825013,-42.729354,-71.779019,-42.683358,2026-01-06T04:43:00+00:00,VIIRS_375m,2026-01-04,38.0,2026-01-09,82.0,35.78,20,OK
tile_017,-71.825013,-42.68336,-71.779019,-42.637365,2026-01-31T06:55:00+00:00,VIIRS_375m,2026-01-29,40.2,2026-02-08,199.8,0.48,20,OK
tile_018,-71.825013,-42.637367,-71.779019,-42.591371,2026-01-27T15:15:00+00:00,MODIS_~3h,2026-01-24,72.5,2026-01-29,47.5,0,20,OK
tile_019,-71.825013,-42.591373,-71.779019,-42.545377,2026-01-03T12:00:00+00:00,S2_window_52d,,,,,,20,SKIP_no_S2
tile_020,-71.825013,-42.54538,-71.779019,-42.5,2026-01-03T12:00:00+00:00,S2_window_52d,,,,,,20,SKIP_no_S2
tile_021,-71.779019,-42.821341,-71.733026,-42.775345,2026-01-21T19:20:00+00:00,VIIRS_375m,2026-01-19,52.6,2026-01-24,67.4,7.58,20,OK
tile_022,-71.779019,-42.775347,-71.733026,-42.729352,2026-01-07T04:24:00+00:00,VIIRS_375m,2026-01-04,61.7,2026-01-09,58.3,42.22,20,OK
tile_023,-71.779019,-42.729354,-71.733026,-42.683358,2026-01-06T19:01:00+00:00,VIIRS_375m,2026-01-04,52.3,2026-01-09,67.7,39.8,20,OK
tile_024,-71.779019,-42.68336,-71.733026,-42.637365,2026-01-19T19:57:00+00:00,VIIRS_375m,2026-01-09,245.2,2026-01-24,114.8,15.32,20,OK
tile_025,-71.779019,-42.637367,-71.733026,-42.591371,2026-01-13T04:32:00+00:00,VIIRS_375m,2026-01-09,85.8,2026-01-19,154.2,13.68,20,OK
tile_026,-71.779019,-42.591373,-71.733026,-42.545377,2026-01-03T12:00:00+00:00,S2_window_52d,,,,,,20,SKIP_no_S2
tile_027,-71.779019,-42.54538,-71.733026,-42.5,2026-01-10T12:00:00+00:00,S2_window_2d,2026-01-09,21.3,2026-01-19,218.7,0,20,OK
tile_028,-71.733026,-42.821341,-71.687032,-42.775345,2026-01-10T05:28:00+00:00,VIIRS_375m,2026-01-09,14.7,2026-01-19,225.3,27.47,20,OK
tile_029,-71.733026,-42.775347,-71.687032,-42.729352,2026-01-09T05:26:00+00:00,VIIRS_375m,2026-01-04,110.7,2026-01-19,249.3,41.92,20,OK
