tile_id,first_fire_utc,last_fire_utc,n_passes_with_fire,total_active_h,precision
tile_002,2025-12-09T19:04:00+00:00,2026-01-09T19:24:00+00:00,16,744.3,VIIRS_375m
tile_003,2026-01-06T04:43:00+00:00,2026-01-09T19:45:00+00:00,12,87.0,VIIRS_375m
tile_009,2026-01-06T04:43:00+00:00,2026-01-06T19:01:00+00:00,3,14.3,VIIRS_375m
tile_010,2026-01-06T04:43:00+00:00,2026-01-09T19:24:00+00:00,13,86.7,VIIRS_375m
tile_016,2026-01-06T04:43:00+00:00,2026-01-08T05:45:00+00:00,7,49.0,VIIRS_375m
tile_015,2026-01-06T19:01:00+00:00,2026-01-27T05:10:00+00:00,39,490.1,VIIRS_375m
tile_023,2026-01-06T19:01:00+00:00,2026-01-21T18:59:00+00:00,20,360.0,VIIRS_375m
tile_022,2026-01-07T04:24:00+00:00,2026-01-25T05:27:00+00:00,29,433.1,VIIRS_375m
tile_029,2026-01-09T05:26:00+00:00,2026-01-25T19:24:00+00:00,15,398.0,VIIRS_375m
tile_028,2026-01-10T05:28:00+00:00,2026-01-21T18:59:00+00:00,27,277.5,VIIRS_375m
tile_025,2026-01-13T04:32:00+00:00,2026-01-31T19:12:00+00:00,32,446.7,VIIRS_375m
tile_024,2026-01-19T19:57:00+00:00,2026-01-31T19:12:00+00:00,29,287.2,VIIRS_375m
tile_021,2026-01-21T19:20:00+00:00,2026-01-27T04:49:00+00:00,10,129.5,VIIRS_375m
tile_014,2026-01-23T18:22:00+00:00,2026-01-27T06:30:00+00:00,10,84.1,VIIRS_375m
tile_017,2026-01-31T06:55:00+00:00,2026-01-31T06:55:00+00:00,1,0.0,VIIRS_375m
