tile,lon_min,lat_min,lon_max,lat_max,s2_window_start,s2_window_end,s2_window_days,modis_first_date,modis_first_source,fire_arrival_utc,precision
tile_000,-71.917,-42.821341,-71.871006,-42.775345,2026-01-24,2026-01-29,5,,,2026-01-26T12:00:00+00:00,S2_window_5d
tile_001,-71.917,-42.775347,-71.871006,-42.729352,2026-01-24,2026-01-29,5,,,2026-01-26T12:00:00+00:00,S2_window_5d
tile_002,-71.917,-42.729354,-71.871006,-42.683358,2026-01-09,2026-01-11,2,2026-01-09,Aqua,2026-01-09T18:15:00+00:00,MODIS_~3h
tile_003,-71.917,-42.68336,-71.871006,-42.637365,2025-12-08,2026-01-29,52,,,2026-01-03T12:00:00+00:00,S2_window_52d
tile_004,-71.917,-42.637367,-71.871006,-42.591371,2025-12-08,2026-01-29,52,,,2026-01-03T12:00:00+00:00,S2_window_52d
tile_005,-71.917,-42.591373,-71.871006,-42.545377,2025-12-08,2026-01-29,52,,,2026-01-03T12:00:00+00:00,S2_window_52d
tile_006,-71.917,-42.54538,-71.871006,-42.5,2025-12-08,2026-01-29,52,,,2026-01-03T12:00:00+00:00,S2_window_52d
tile_007,-71.871006,-42.821341,-71.825013,-42.775345,2026-01-09,2026-01-11,2,,,2026-01-10T12:00:00+00:00,S2_window_2d
tile_008,-71.871006,-42.775347,-71.825013,-42.729352,2025-12-08,2026-01-29,52,2026-01-10,Aqua,2026-01-10T18:15:00+00:00,MODIS_~3h
tile_009,-71.871006,-42.729354,-71.825013,-42.683358,2026-01-04,2026-01-09,5,2026-01-06,Terra,2026-01-06T15:15:00+00:00,MODIS_~3h
tile_010,-71.871006,-42.68336,-71.825013,-42.637365,2026-01-24,2026-01-29,5,,,2026-01-26T12:00:00+00:00,S2_window_5d
tile_011,-71.871006,-42.637367,-71.825013,-42.591371,2025-12-08,2026-01-29,52,,,2026-01-03T12:00:00+00:00,S2_window_52d
tile_012,-71.871006,-42.591373,-71.825013,-42.545377,2025-12-08,2026-01-29,52,,,2026-01-03T12:00:00+00:00,S2_window_52d
tile_013,-71.871006,-42.54538,-71.825013,-42.5,2025-12-08,2026-01-29,52,,,2026-01-03T12:00:00+00:00,S2_window_52d
tile_014,-71.825013,-42.821341,-71.779019,-42.775345,2025-12-08,2026-01-29,52,2026-01-21,Terra,2026-01-21T15:15:00+00:00,MODIS_~3h
tile_015,-71.825013,-42.775347,-71.779019,-42.729352,2026-01-04,2026-01-09,5,2026-01-06,Terra,2026-01-06T15:15:00+00:00,MODIS_~3h
tile_016,-71.825013,-42.729354,-71.779019,-42.683358,2026-01-04,2026-01-09,5,2026-01-06,Terra,2026-01-06T15:15:00+00:00,MODIS_~3h
tile_017,-71.825013,-42.68336,-71.779019,-42.637365,2025-12-08,2026-01-29,52,2026-01-27,Terra,2026-01-27T15:15:00+00:00,MODIS_~3h
tile_018,-71.825013,-42.637367,-71.779019,-42.591371,2025-12-08,2026-01-29,52,2026-01-27,Terra,2026-01-27T15:15:00+00:00,MODIS_~3h
tile_019,-71.825013,-42.591373,-71.779019,-42.545377,2025-12-08,2026-01-29,52,,,2026-01-03T12:00:00+00:00,S2_window_52d
tile_020,-71.825013,-42.54538,-71.779019,-42.5,2025-12-08,2026-01-29,52,,,2026-01-03T12:00:00+00:00,S2_window_52d
tile_021,-71.779019,-42.821341,-71.733026,-42.775345,2025-12-08,2026-01-29,52,2026-01-21,Terra,2026-01-21T15:15:00+00:00,MODIS_~3h
tile_022,-71.779019,-42.775347,-71.733026,-42.729352,2026-01-04,2026-01-09,5,2026-01-07,Terra,2026-01-07T15:15:00+00:00,MODIS_~3h
tile_023,-71.779019,-42.729354,-71.733026,-42.683358,2026-01-04,2026-01-09,5,2026-01-06,Aqua,2026-01-06T18:15:00+00:00,MODIS_~3h
tile_024,-71.779019,-42.68336,-71.733026,-42.637365,2025-12-08,2026-01-29,52,2026-01-08,Aqua,2026-01-08T18:15:00+00:00,MODIS_~3h
tile_025,-71.779019,-42.637367,-71.733026,-42.591371,2026-01-09,2026-01-11,2,2026-01-10,Aqua,2026-01-10T18:15:00+00:00,MODIS_~3h
tile_026,-71.779019,-42.591373,-71.733026,-42.545377,2025-12-08,2026-01-29,52,,,2026-01-03T12:00:00+00:00,S2_window_52d
tile_027,-71.779019,-42.54538,-71.733026,-42.5,2026-01-09,2026-01-11,2,,,2026-01-10T12:00:00+00:00,S2_window_2d
tile_028,-71.733026,-42.821341,-71.687032,-42.775345,2026-01-19,2026-01-24,5,2026-01-19,Aqua,2026-01-19T18:15:00+00:00,MODIS_~3h
tile_029,-71.733026,-42.775347,-71.687032,-42.729352,2026-01-04,2026-01-09,5,2026-01-07,Terra,2026-01-07T15:15:00+00:00,MODIS_~3h
